ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
1291077,ADOMAVICIUS Aurimas,M,27,NA,NA,Lithuania,LTU,2020 Summer,2020,Summer,Tokyo,Rowing,Men's Double Sculls Team,NA
1332435,AEDO Yanara,F,28,NA,NA,Chile,CHI,2020 Summer,2020,Summer,Tokyo,Football,Women Team,NA
1325544,AERNOUDTS Violaine,F,21,NA,NA,France,FRA,2020 Summer,2020,Summer,Tokyo,Rowing,Women's Quadruple Sculls Team,NA
1296235,AFANADOR Brian,M,24,NA,NA,Puerto Rico,PUR,2020 Summer,2020,Summer,Tokyo,Table Tennis,Men's Singles,NA
1429019,AFONSO Paixao,M,30,NA,NA,Angola,ANG,2020 Summer,2020,Summer,Tokyo,Sailing,Men's Two Person Dinghy - 470 Team,NA
1450180,AFONSO Salome,F,23,NA,NA,Portugal,POR,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 1500m,NA
1298940,AFOUMBA Gilles Anthony,M,25,NA,NA,Republic of the Congo,CGO,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 400m,NA
1425461,AFREMOVA Natalia,F,22,NA,NA,Russia,ROC,2020 Summer,2020,Summer,Tokyo,Cycling BMX Racing,Women,NA
1413273,AFRIAT Charlotte,F,18,NA,NA,Monaco,MON,2020 Summer,2020,Summer,Tokyo,Athletics,Women's 100m,NA
1399064,AGADA Caleb,M,26,NA,NA,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Basketball,Men Team,NA
1429073,AGAHOZO Alphonsine,F,23,NA,NA,Rwanda,RWA,2020 Summer,2020,Summer,Tokyo,Swimming,Women's 50m Freestyle,NA
1476195,AGARD Terrence,M,31,NA,NA,Netherlands,NED,2020 Summer,2020,Summer,Tokyo,Athletics,Men's 4 x 400m Relay Team,Silver
1315260,AGARIE Yuto,M,28,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Handball,Men Team,NA
1313716,AGATSUMA Haruka,F,26,NA,NA,Japan,JPN,2020 Summer,2020,Summer,Tokyo,Baseball/Softball,Softball Team,Gold
1403697,AGBEGNENOU Clarisse,F,28,NA,NA,France,FRA,2020 Summer,2020,Summer,Tokyo,Judo,Women -63 kg,Gold
1403697,AGBEGNENOU Clarisse,F,28,NA,NA,France,FRA,2020 Summer,2020,Summer,Tokyo,Judo,Mixed Team,Gold
1402295,AGERO Eden,M,30,NA,NA,Kenya,KEN,2020 Summer,2020,Summer,Tokyo,Rugby Sevens,Men Team,NA
1408745,AGGEFORS Mikael,M,36,NA,NA,Sweden,SWE,2020 Summer,2020,Summer,Tokyo,Handball,Men Team,NA
1281726,AGHAEIHAJIAGHA Soraya,F,25,NA,NA,Iran,IRI,2020 Summer,2020,Summer,Tokyo,Badminton,Women's Singles,NA
1340919,AGHAMIROVA Zohra,F,20,NA,NA,Azerbaijan,AZE,2020 Summer,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,NA
1292388,AGHAMIRZAEIJENAGHRAD Ali,M,28,NA,NA,Iran,IRI,2020 Summer,2020,Summer,Tokyo,Canoe Sprint,Men's Kayak Single 1000m,NA
1306380,AGHASYAN Levon,M,26,NA,NA,Armenia,ARM,2020 Summer,2020,Summer,Tokyo,Athletics,Men's Triple Jump,NA
1439675,AGHAYEV Rafael,M,36,NA,NA,Azerbaijan,AZE,2020 Summer,2020,Summer,Tokyo,Karate,Men's Kumite -75kg,Silver
1350943,AGIOMOR Ekerekeme,M,26,NA,NA,Nigeria,NGR,2020 Summer,2020,Summer,Tokyo,Wrestling,Men's Freestyle 86kg,NA
1343119,AGIURGIUCULESE Alexandra,F,20,NA,NA,Italy,ITA,2020 Summer,2020,Summer,Tokyo,Rhythmic Gymnastics,Individual All-Around,NA
